BATCH COMPILATION SUMMARY
================================================================================
Total Time: 4937.5 seconds (82.3 minutes)
Vendors Processed: 353
================================================================================

Vendor               Compiled   Failed     Time       Status
junos                164        5          184.5      ✗
junose               145        10         159.6      ✗
kemp                 2          0          2.3        ✓
lancom               4          0          11.3       ✓
lantronix            2          0          1.9        ✓
lenovo               3          1          4.8        ✗
liebert              0          12         10.9       ✗
ligoos               1          0          2.0        ✓
linksys              74         3          97.6       ✗
logmaster            1          0          1.3        ✓
loop-telecom         1          0          4.4        ✓
maipu                2          0          1.6        ✓
mcafee               1          0          1.8        ✓
meinberg             4          0          3.6        ✓
microsemi            3          0          2.3        ✓
microsoft            1          0          1.8        ✓
mikrotik             1          0          1.0        ✓
mimosa               3          0          4.7        ✓
mitel                3          0          5.3        ✓
mitsubishi           1          0          0.8        ✓
mni                  1          0          1.4        ✓
montclair            0          1          0.7        ✗
morningstar          9          0          9.1        ✓
moxa                 10         3          8.3        ✗
mpb                  1          0          1.0        ✓
mrv                  31         0          33.3       ✓
netapp               0          0          0.3        ✓
netbotz              2          0          1.8        ✓
netelastic           4          0          3.7        ✓
netgear              3          0          7.4        ✓
netonix              1          0          1.0        ✓
netping              1          0          1.1        ✓
nexans               0          0          0.3        ✓
nimble               1          0          0.9        ✓
nokia                116        39         367.0      ✗
nortel               13         6          62.7       ✗
nti                  2          0          1.4        ✓
nutanix-aos          1          0          1.1        ✓
omnitron             2          0          2.3        ✓
oneaccess            3          0          3.4        ✓
openaccess           1          1          1.3        ✗
openbsd              6          0          7.0        ✓
opengear             14         0          10.8       ✓
orvaldi              0          1          0.7        ✗
osnexus              1          0          2.4        ✓
packetflux           2          0          1.6        ✓
packetlight          26         0          36.1       ✓
paloaltonetworks     3          2          6.6        ✗
panasonic            0          1          0.7        ✗
panduit              1          0          1.5        ✓
papouch              1          0          1.2        ✓
parks                0          1          0.7        ✗
patton               0          1          0.8        ✗
pbi                  3          1          3.2        ✗
pbn                  5          0          6.1        ✓
pegasus              2          0          2.5        ✓
peplink              8          0          4.4        ✓
perle                0          1          0.7        ✗
pfsense              2          0          2.0        ✓
picos                1          0          1.3        ✓
planet               1          0          1.1        ✓
polycom              2          0          1.7        ✓
positron             2          0          3.2        ✓
poweralert           2          2          3.0        ✗
powerwalker          0          0          0.3        ✓
primekey             2          0          1.5        ✓
procera              9          0          31.3       ✓
profline             1          1          1.5        ✗
protelevision        2          0          2.3        ✓
proware              0          1          0.8        ✗
pulse                1          0          1.1        ✓
qnap                 1          0          1.1        ✓
qtech                0          1          0.8        ✗
quanta               7          54         33.0       ✗
radlan               30         1          39.7       ✗
radware              1          0          2.7        ✓
radwin               1          0          2.4        ✓
raisecom             10         4          15.3       ✗
rajant               1          0          0.9        ✓
raritan              2          0          2.4        ✓
ray                  2          0          1.9        ✓
redlion              1          1          1.5        ✗
ribbon               2          0          4.0        ✓
riedo                2          1          2.1        ✗
riello               3          2          3.7        ✗
rittal               2          0          4.1        ✓
riverbed             2          0          1.7        ✓
ros                  1          2          1.9        ✗
rs                   2          0          3.1        ✓
ruckus               19         0          33.8       ✓
ruijie               5          1          22.8       ✗
rutos                0          1          2.4        ✗
saf                  8          0          17.8       ✓
sagemcom             1          0          5.0        ✓
samlex               1          0          1.9        ✓
sangoma              0          1          1.4        ✗
schleifenbauer       1          0          3.0        ✓
schneider            1          0          2.5        ✓
screenos             44         2          68.7       ✗
seagate              1          0          2.7        ✓
seh                  1          0          2.5        ✓
sensatronics         2          0          4.0        ✓
sentry               2          0          2.8        ✓
serverscheck         1          0          2.3        ✓
siae                 29         0          82.1       ✓
siemens              1          2          6.2        ✗
siklu                1          0          7.0        ✓
silverpeak           2          0          5.5        ✓
